movie_title,title_year,genres,gross
Avatar,2009,Action|Adventure|Fantasy|Sci-Fi,760505847
Pirates of the Caribbean: At World's End,2007,Action|Adventure|Fantasy,309404152
Spectre,2015,Action|Adventure|Thriller,200074175
The Dark Knight Rises,2012,Action|Thriller,448130642
John Carter,2012,Action|Adventure|Sci-Fi,73058679
Spider-Man 3,2007,Action|Adventure|Romance,336530303
Tangled,2010,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,200807262
Avengers: Age of Ultron,2015,Action|Adventure|Sci-Fi,458991599
Harry Potter and the Half-Blood Prince,2009,Adventure|Family|Fantasy|Mystery,301956980
Batman v Superman: Dawn of Justice,2016,Action|Adventure|Sci-Fi,330249062
Superman Returns,2006,Action|Adventure|Sci-Fi,200069408
Quantum of Solace,2008,Action|Adventure,168368427
Pirates of the Caribbean: Dead Man's Chest,2006,Action|Adventure|Fantasy,423032628
The Lone Ranger,2013,Action|Adventure|Western,89289910
Man of Steel,2013,Action|Adventure|Fantasy|Sci-Fi,291021565
The Chronicles of Narnia: Prince Caspian,2008,Action|Adventure|Family|Fantasy,141614023
The Avengers,2012,Action|Adventure|Sci-Fi,623279547
Pirates of the Caribbean: On Stranger Tides,2011,Action|Adventure|Fantasy,241063875
Men in Black 3,2012,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,179020854
The Hobbit: The Battle of the Five Armies,2014,Adventure|Fantasy,255108370
The Amazing Spider-Man,2012,Action|Adventure|Fantasy,262030663
Robin Hood,2010,Action|Adventure|Drama|History,105219735
The Hobbit: The Desolation of Smaug,2013,Adventure|Fantasy,258355354
The Golden Compass,2007,Adventure|Family|Fantasy,70083519
King Kong,2005,Action|Adventure|Drama|Romance,218051260
Titanic,1997,Drama|Romance,658672302
Captain America: Civil War,2016,Action|Adventure|Sci-Fi,407197282
Battleship,2012,Action|Adventure|Sci-Fi|Thriller,65173160
Jurassic World,2015,Action|Adventure|Sci-Fi|Thriller,652177271
Skyfall,2012,Action|Adventure|Thriller,304360277
Spider-Man 2,2004,Action|Adventure|Fantasy|Romance,373377893
Iron Man 3,2013,Action|Adventure|Sci-Fi,408992272
Alice in Wonderland,2010,Adventure|Family|Fantasy,334185206
